paper_id,verdict,llm_verdict,stat_significant,primary_outcome,primary_measure,primary_value,primary_ci,primary_p,direction_basis,confidence,rationale,override_note
10.1001/archotol.1992.01880090049015,no_difference,no_difference,unknown,,,,,,narrative,high,Both primary outcomes (infection rate and illness rate) showed no statistically significant between-group difference.,
10.1002/lary.29935,no_difference,no_difference,no,Nasopharyngeal SARS-CoV-2 cycle threshold (Ct) value,mean_difference,,-1.584–0.886,,statistical,high,"Primary Ct change outcome showed no significant between-group difference (MD -0.349, 95% CI -1.584–0.886).",
10.1007/bf02126707,no_difference,no_difference,unknown,Rhinovirus illness incidence (illness induced),risk_difference,0,,,statistical,high,"Rhinovirus illness incidence was identical between arms (risk_difference=0), with no statistically significant difference on the primary outcome.",
10.1007/bf01310519,inconclusive,inconclusive,unknown,Number of colds (clinical cold),risk_ratio,,,,narrative,medium,"Primary outcome risk ratios not reported; trial focused on drug resistance emergence, not efficacy determination.",
10.1002/jmv.1890170202,inconclusive,inconclusive,no,Treatment discontinuation due to upper respiratory symptoms (cold or reaction),risk_difference,,,0.49,statistical,high,"The sole primary outcome is a safety/tolerability measure (discontinuation), not efficacy; no primary efficacy outcome is reported.",
10.1001/jamainternmed.2025.4283,favors_treatment,favors_treatment,yes,PCR-confirmed SARS-CoV-2 infection,odds_ratio,0.31,0.11–0.87,,statistical,high,"PCR-confirmed SARS-CoV-2 infection was significantly lower with azelastine (OR 0.31, 95% CI 0.11–0.87, p=0.02).",
10.1002/alr.22975,favors_control,favors_control,yes,"SARS-CoV-2 nasal viral load (qRT-PCR Ct value, N1 primer)",mean_difference,-5.277,-9.474–-1.08,,statistical,high,"Primary outcome (nasal viral load) showed significantly greater reduction in control vs J&J/HTS arm (adjusted MD -5.277, 95% CI -9.474 to -1.080).",
10.1002/lary.31430,favors_treatment,favors_treatment,yes,Nasal viral load (log10 TCID50) Days 2-4 AUC - primary endpoint,mean_difference,,,0.028,statistical,high,Primary viral load AUC (Days 2-4) significantly lower in Nasodine arm vs placebo (p=0.028).,
10.1016/0166-3542(86)90011-2,no_difference,no_difference,unknown,,,,,,narrative,high,Primary outcome (infection rate in contacts) showed no between-group difference; symptom benefits were secondary outcomes only.,
10.1007/s12070-022-03106-0,favors_treatment,favors_treatment,yes,Nasopharyngeal clearance of SARS-CoV-2 (RT-PCR negativity after intervention),odds_ratio,9.27,2.06–41.75,,statistical,high,"RT-PCR negativity significantly higher in all PVP-I arms vs controls; OR=9.27 (95% CI 2.06–41.75, p=0.006).",
