paper_id,verdict,rationale,confidence
10.1001/jamanetworkopen.2025.0728,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1001/jamainternmed.2024.2007,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1001/jamanetworkopen.2024.36874,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1001/jamanetworkopen.2025.34304,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1001/jamaneurol.2025.4415,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1002/ctm2.1436,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1002/clc.70110,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1002/jcsm.13530,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1002/jcsm.13628,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1002/fsn3.3597,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s00394-024-03546-0,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s00406-024-01904-x,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s00431-025-06705-5,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s10072-023-07268-9,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s00508-025-02501-1,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s12325-024-02826-9,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s40121-025-01287-z,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s11845-025-03899-3,favors_control,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s00508-025-02522-w,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1007/s11357-024-01179-z,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.brs.2021.10.368,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.brs.2024.12.534,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.apmr.2025.05.008,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.brs.2023.01.1672,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.bjpt.2025.101247,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.brat.2025.104917,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.ctim.2022.102823,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.brs.2025.08.018,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.clinph.2022.10.017,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.clinme.2024.100251,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.eclinm.2023.101946,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.eclinm.2025.103358,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.eclinm.2025.103730,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.eclinm.2025.103633,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.imr.2024.101084,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.eclinm.2025.103737,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.lanepe.2022.100539,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.jpsychores.2023.111389,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.heliyon.2024.e40453,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.rehab.2023.101765,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1017/s1355617723007634,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/s1473-3099(23)00685-0,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1037/rep0000626,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/s2213-2600(22)00125-4,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41386-024-01995-z,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1016/j.rehab.2022.101709,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41467-025-57198-7,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41467-025-59909-6,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-024-51904-z,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41467-025-64831-y,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41591-024-03384-x,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-023-35058-y,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-023-36570-x,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-024-52763-4,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-022-15565-0,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-025-07461-0,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-025-09772-8,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-024-78651-5,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-025-96555-w,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-024-82584-4,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1038/s41598-025-27036-3,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1093/cid/ciac226,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1093/braincomms/fcad117,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1080/13548506.2024.2439180,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1089/can.2022.0135,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1093/braincomms/fcaf447,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1093/eurheartj/ehad655.2594,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1093/cid/ciad257,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1080/09602011.2024.2338613,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1093/eurheartj/ehae666.298,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1093/eurheartj/ehad655.2601,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1080/21679169.2025.2479676,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1101/2022.08.29.22279327,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1101/2023.05.31.23290798,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1109/jiot.2022.3188914,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1097/md.0000000000041583,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1101/2022.10.04.22280680,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1101/2023.06.28.23291986,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1111/hex.70399,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1111/jebm.12465,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1111/hex.70357,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1111/hex.70079,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1136/annrheumdis-2022-eular.3861,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1126/scitranslmed.adu4284,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1113/ep092099,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1136/bmj.q346,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1111/sms.14240,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1136/spcare-2023-004595,favors_control,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1155/2023/7068326,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1136/bmjresp-2022-001439,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1136/bmjmed-2024-001068,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1136/bjsports-2022-106681,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1136/bmjopen-2024-094386,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1136/bmjresp-2025-003653,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1152/japplphysiol.00489.2022,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1155/ijcp/5641307,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1177/09727531241306849,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.11606/issn.2317-0190.v30i4a214740,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.11604/pamj.2023.46.65.36615,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1164/rccm.202309-1572oc,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1155/ijcp/7692776,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1182/blood-2024-210709,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1177/27536130251385551,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1183/23120541.00031-2024,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1183/23120541.01142-2024,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s12868-025-00989-x,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1183/13993003.03101-2021,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s12879-023-08002-8,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s12872-024-04196-0,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1183/23120541.00838-2024,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s12913-024-11679-5,no_difference,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s12991-024-00494-1,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s12984-024-01340-x,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s12906-025-04784-3,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s12967-022-03488-3,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s12967-022-03660-9,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s13287-025-04148-1,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s13102-024-00817-5,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1192/j.eurpsy.2024.257,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s13690-024-01354-w,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s13063-024-08473-3,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1186/s42234-022-00094-y,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1192/j.eurpsy.2025.463,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1183/13993003.02152-2024,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.14412/2074-2711-2021-2-65-72,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.14744/ejp.2024.1204,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.14814/phy2.15636,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.15212/amm-2024-0089,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.13189/saj.2025.130406,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.15395/mkb.v55n2.2753,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.15407/fz71.06.095,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.15789/2220-7619-doc-2042,favors_treatment,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.15829/1728-8800-2021-2986,inconclusive,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
10.1371/journal.pone.0340965,mixed,Conservative projection from reconciled primary between-group results; otherwise inconclusive,
