csv_line,tier,confidence,proposed_doi,new_original_url,old_original_url,csv_title,csv_journal,csv_year,resolved_title,resolved_journal,resolved_year,note
466,-,no-doi-found,,,https://psycnet.apa.org/buy/1996-06400-003,Automaticity of social behaviour,PLOS One,2013,,,,matched paper but it has no DOI
468,D,REVIEW-REQUIRED,10.1037/0022-3514.74.4.865,https://doi.org/10.1037/0022-3514.74.4.865,https://psycnet.apa.org/buy/1998-01060-003,"The relation between perception and behavior, or how to win a
game of trivial pursuit",Journal of Personality and Social Psychology,1998,"The relation between perception and behavior, or how to win a game of Trivial Pursuit.",Journal of Personality and Social Psychology,1998,title match (gated)
667,-,no-doi-found,,,https://pdfs.semanticscholar.org/16af/db45ada4a1951aa464be49ef82ac6eebf0c1.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,,,2008,,,,no title to search on
936,-,no-doi-found,,,https://web.archive.org/web/20171108154936/http://www.laurenebrewer.com/uploads/3/8/6/6/3866345/gailliotetal_selfcontrol_glucose.pdf,,,2007,,,,no title to search on
1015,-,no-doi-found,,,https://www.ingentaconnect.com/content/imp/jcs/2011/00000018/f0020009/art00005,Distinguishing the Appearance from the Reality of Pain,Journal of Consciousness Studies,2011,,,,matched paper but it has no DOI
1253,-,no-doi-found,,,https://www.semanticscholar.org/paper/cbb85126a43007ee55d5ba6534da2dde63a7d45c,Was the deflation during the great depression anticipated? Evidence from the commodity futures market,American Economic Review,1992,,,,matched paper but it has no DOI
1268,-,no-doi-found,,,https://www.semanticscholar.org/paper/e9a882e49c2ea56fa940eecf83f5dcdbf528ec9c,"Career mobility, job match, and overeducation",Eastern Economic Journal,1995,,,,matched paper but it has no DOI
1352,-,no-doi-found,,,https://www.semanticscholar.org/paper/28afeddeaafb0bb57e4913dccd3198cfbfaeb973,Information Cascades in the Laboratory,American Economic Review,1997,,,,matched paper but it has no DOI
1393,-,no-doi-found,,,https://www.semanticscholar.org/paper/7a3ab9619033ecc7caa5ec6f94d89164dd52ae9d,Inflation Expectations and the Evolution of U.S. Inflation,Public Policy Brief,2011,,,,matched paper but it has no DOI
2148,-,no-doi-found,,,https://brillouinenergy.com/newwebsite/wp-content/uploads/2018/11/Highly-reproducible-LENR-experiments-using-dual-laser-stimulation.pdf,Highly reproducible LENR experiments using dual laser stimulation,Current Science,2015,,,,matched paper but it has no DOI
3018,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/21537390/,Length heteroplasmies in human mitochondrial DNA control regions and breast cancer risk,International Journal of Molecular Epidemiology and Genetics,2010,,,,matched paper but it has no DOI
