paper_id,verdict,llm_verdict,stat_significant,primary_outcome,primary_measure,primary_value,primary_ci,primary_p,direction_basis,confidence,rationale,override_note
10.1002/ajh.27290,no_difference,no_difference,no,Change from baseline in IRLSS score at Week 6,mean_difference,,,0.27,statistical,high,"Both co-primary outcomes showed no significant between-group difference (IRLSS p=0.27, CGI-I p=0.70).",
10.1002/ana.23565,inconclusive,inconclusive,unknown,PLMS index (entire night) - periodic leg movements during sleep per hour,mean_difference,,,,narrative,high,Primary PLMS outcome lacks numeric effect estimate; cannot quantify statistical significance or direction.,
10.1002/1531-8257(199901)14/1<138//aid-mds1023>3.0.co;2-a,favors_treatment,favors_treatment,yes,IRLSSG abbreviated questionnaire score,mean_difference,-10.9,,1.08e-08,statistical,medium,"IRLSSG score improved significantly (mean -10.9, p=1.08e-08), but single-arm design limits causal inference.",
10.1002/1531-8257(200003)15/2<324//aid-mds1020>3.0.co;2-4,inconclusive,inconclusive,yes,RLS rating scale score,mean_difference,-3.2,,0.001,statistical,high,Open-label uncontrolled design cannot exclude placebo effect; lacks control arm for efficacy judgment.,flag: primary stat-significant but LLM judged null — review
10.1002/ana.410240318,favors_treatment,favors_treatment,yes,Periodic movements of sleep per hour of sleep,mean_difference,-49,,0.025,statistical,high,Primary outcome (periodic movements per hour) was significantly reduced on bromocriptine versus placebo (p=0.025).,
10.1002/fps.3,favors_treatment,favors_treatment,yes,"International RLS Rating Scale (IRLS) score — dose-finding study (PRELUDE, Partinen et al. 2006)",mean_difference,-10.93,,0.0001,statistical,high,"Multiple primary outcomes show statistically significant IRLS improvements with pramipexole versus placebo (p<0.01, p=0.01, p=0.0001).",
10.1002/cpu.20053,favors_treatment,favors_treatment,yes,Study responder criteria (≥30% decrease in total BPRS from baseline AND CGI score of 1 or 2),risk_difference,,,0.038,statistical,high,"Clozapine significantly higher responder rate (66% vs 33%, p=0.038) on primary efficacy outcome.",
10.1002/mdc3.13833,favors_treatment,favors_treatment,yes,RLS Symptom Severity,mean_difference,6.33,,0.024,statistical,high,Primary outcome RLS symptom severity significantly improved in aerobic exercise arm (p=0.024) vs control.,
10.1002/mds.20251,no_difference,no_difference,no,International Restless Legs Syndrome Scale (IRLS) total score,mean_difference,2.5,-3.5–8.4,,statistical,high,Primary IRLS outcome showed no significant difference between rotigotine and placebo (adjusted difference 2.5 points; 95% CI crosses null).,
10.1002/mds.10503,favors_treatment,favors_treatment,yes,Satisfaction with sleep,mean_difference,3.5,,0.0001,statistical,high,"Primary outcome (sleep satisfaction) showed statistically significant improvement (+3.5 points, p=0.0001) favoring treatment.",
10.1002/mds.1141,inconclusive,inconclusive,yes,Overall complaints (daytime) — VAS,mean_difference,-18.0,,0.0001,statistical,high,Uncontrolled open-label pilot; significant pre-post improvements but no control arm precludes efficacy determination beyond placebo.,flag: primary stat-significant but LLM judged null — review
